Crash type,Year,Fatal crashes,Injury-only crashes,Property-damage-only crashes
Veh-NonVeh,2009,"2,440","105,086","124,571"
Veh-NonVeh,2010,"2,551","119,753","125,612"
Veh-NonVeh,2011,"2,522","115,115","132,723"
Veh-NonVeh,2012,"2,741","118,141","144,679"
Veh-NonVeh,2013,"2,599","114,904","138,094"
Veh-NonVeh,2014,"2,649","117,371","149,417"
Veh-NonVeh,2015,"2,910","114,613","151,831"
Veh-NonVeh,2016,"3,143","150,842","198,665"
Veh-NonVeh,2017,"3,024","126,016","173,082"
Veh-NonVeh,2018,"3,053","135,851","205,758"
Veh-NonVeh,2019,"3,113","140,845","205,774"
Veh-NonVeh,2020,"3,097","100,688","131,914"
Veh-NonVeh,2021,"3,356","106,744","154,212"
Veh-NonVeh,2022,"3,511","117,254","156,952"
Veh-NonVeh,2023,"3,388","120,596","166,729"
Rear-End,2009,385,"211,802","637,915"
Rear-End,2010,414,"240,245","647,954"
Rear-End,2011,400,"227,503","673,081"
Rear-End,2012,448,"250,326","715,981"
Rear-End,2013,402,"241,354","691,667"
Rear-End,2014,450,"244,963","758,816"
Rear-End,2015,449,"258,510","806,204"
Rear-End,2016,490,"317,430","788,746"
Rear-End,2017,497,"282,488","719,455"
Rear-End,2018,492,"273,899","784,426"
Rear-End,2019,474,"288,301","807,102"
Rear-End,2020,496,"194,226","551,982"
Rear-End,2021,563,"209,207","643,136"
Rear-End,2022,569,"226,122","655,471"
Rear-End,2023,544,"224,986","692,309"
Head-On,2009,367,"32,428","34,355"
Head-On,2010,326,"36,720","36,991"
Head-On,2011,340,"31,386","32,029"
Head-On,2012,342,"35,812","40,041"
Head-On,2013,324,"39,185","48,450"
Head-On,2014,381,"37,591","48,769"
Head-On,2015,454,"44,732","44,221"
Head-On,2016,474,"57,849","55,350"
Head-On,2017,428,"51,245","49,574"
Head-On,2018,495,"51,566","58,259"
Head-On,2019,478,"64,625","61,401"
Head-On,2020,493,"33,068","37,118"
Head-On,2021,510,"47,175","54,004"
Head-On,2022,590,"59,823","67,340"
Head-On,2023,582,"61,114","59,828"
Angle,2009,"3,663","341,068","624,342"
Angle,2010,"3,701","324,223","610,085"
Angle,2011,"3,436","324,047","553,541"
Angle,2012,"3,546","329,795","540,766"
Angle,2013,"3,563","320,467","549,863"
Angle,2014,"3,472","340,236","605,933"
Angle,2015,"3,959","358,032","607,663"
Angle,2016,"4,267","449,491","623,223"
Angle,2017,"4,451","394,391","608,058"
Angle,2018,"4,146","411,022","685,935"
Angle,2019,"4,226","426,812","713,284"
Angle,2020,"4,559","378,209","562,220"
Angle,2021,"5,123","418,117","664,598"
Angle,2022,"5,121","394,488","644,394"
Angle,2023,"5,022","418,399","688,277"
Sideswipe,2009,97,"9,116","82,916"
Sideswipe,2010,64,"12,547","100,446"
Sideswipe,2011,66,"17,607","142,250"
Sideswipe,2012,98,"25,562","163,157"
Sideswipe,2013,86,"26,079","174,788"
Sideswipe,2014,102,"25,424","219,647"
Sideswipe,2015,94,"30,882","244,183"
Sideswipe,2016,122,"37,805","214,187"
Sideswipe,2017,142,"33,356","215,331"
Sideswipe,2018,130,"38,099","262,484"
Sideswipe,2019,112,"44,577","260,260"
Sideswipe,2020,128,"29,363","154,666"
Sideswipe,2021,145,"32,548","204,085"
Sideswipe,2022,118,"37,860","251,147"
Sideswipe,2023,119,"37,841","283,514"
Other,2009,16,5,0
Other,2010,12,77,"4,006"
Other,2011,27,"3,037","17,192"
Other,2012,24,"3,252","25,387"
Other,2013,15,"1,486","27,332"
Other,2014,19,"3,886","31,832"
Other,2015,37,"3,202","23,367"
Other,2016,25,"4,173","29,722"
Other,2017,32,"5,929","26,367"
Other,2018,25,"4,376","23,800"
Other,2019,27,"3,212","26,394"
Other,2020,31,"2,522","10,513"
Other,2021,23,903,"11,828"
Other,2022,29,"1,464","11,022"
Other,2023,36,"2,573","16,364"
Unknown,2009,14,,
Unknown,2010,5,,
Unknown,2011,17,,
Unknown,2012,17,,
Unknown,2013,16,,
Unknown,2014,25,,
Unknown,2015,23,,
Unknown,2016,24,,
Unknown,2017,20,,
Unknown,2018,20,,
Unknown,2019,14,,
Unknown,2020,20,,
Unknown,2021,34,,
Unknown,2022,28,,
Unknown,2023,33,,
